"time","wind_speed","wind_direction","ambient_temp","terrain","active_power","stdeviation","turbulence_intensity"
2015-11-08 10:30:00,3.22514285714286,58.6620992774572,-0.0257142857142857,4,0.0219971428380952,0.52706289317946,0.0719058247239153
2015-11-08 10:40:00,3.57966666666667,58.85472719388,-0.0733333333333333,4,0.0284795556,0.919008197287946,0.124565340355048
2015-11-08 10:50:00,2.69833333333333,64.1019911644,-0.025,4,0.00737777777777778,7.89550758173438,0.0550180743962827
2015-11-08 11:00:00,2.88545454545455,66.6119860974,0.136363636363636,4,0.00544363636363636,3.01624489088549,0.0577995019080408
2015-11-08 13:50:00,3.23071428571429,75.5509028731714,1.21642857142857,4,0.012462857047619,0.327612575628382,0.0996509611960773
2015-11-08 14:00:00,4.13176470588235,71.9273000997353,1.03676470588235,4,0.0439117647254902,6.17664761033654,0.125843715012888
2015-11-08 14:10:00,4.16558823529412,62.2338991011353,0.963823529411765,4,0.0422280390588235,2.25275446548483,0.143769244870663
2015-11-08 14:20:00,3.45363636363636,68.5064331846,0.813181818181818,4,0.0209157576363636,3.97905867037117,0.125918236495692
2015-11-08 14:30:00,3.11225806451613,73.6217992526903,0.744516129032258,4,0.0145182795483871,0.745525201756821,0.0735176577410186
2015-11-08 14:40:00,4.10764705882353,73.5473665232118,0.587352941176471,4,0.0490692151372549,0.566935659411116,0.118298920553573
2015-11-08 14:50:00,3.81083333333333,70.7711842711667,0.601388888888889,4,0.0416412961481481,5.48969988324859,0.11915036114814
2015-11-08 15:00:00,3.35071428571429,60.2812149319714,0.784285714285714,4,0.0150330951428571,1.95700196454902,0.0886646366562374
2015-11-08 15:10:00,3.2405,65.9584897017,0.7305,4,0.0123953332333333,5.89360862115154,0.0655128308468995
2015-11-08 15:20:00,3.62235294117647,66.0535189998,0.626470588235294,4,0.0243984314901961,6.62794157172096,0.108900880192321
2015-11-08 15:40:00,2.18166666666667,81.5582671763,0.6,4,0.00305555555555556,1.20015378956778,0.0519754623288403
2015-11-08 15:50:00,2.769,81.19184861632,0.58,4,0.00829999997777778,0.946850650611522,0.11705335896934
2015-11-08 16:00:00,3.86388888888889,81.1172693785834,0.508333333333333,4,0.0430174073518518,0.898130521743283,0.07225776494116
2015-11-08 16:10:00,4.72885714285714,80.0118283537372,0.362857142857143,4,0.0772579040190476,2.82115746435734,0.0730908584719604
2015-11-08 16:20:00,4.39055555555556,75.3660579028667,0.311111111111111,4,0.0607205552592593,0.594135038093379,0.115166753756528
2015-11-08 16:30:00,2.98740740740741,75.1844558267778,0.403703703703704,4,0.0147224691111111,0.771397849534267,0.110457830037365
2015-11-08 16:40:00,3.34153846153846,77.8072164000462,0.476923076923077,4,0.0253215383589744,2.53142862309059,0.105638424487943
2015-11-08 16:50:00,3.58166666666667,74.95524180395,0.5,4,0.0278662963148148,8.59156685321612,0.0951088706464702
2015-11-08 17:00:00,3.66296296296296,90.1567083872445,0.496296296296296,4,0.0276903703950617,0.943634944574235,0.11346588967307
2015-11-08 17:10:00,4.222,89.7078910431429,0.431428571428571,4,0.0470489521333333,1.79300613535286,0.051483873198103
2015-11-08 17:20:00,4.19194444444444,88.3974330429833,0.4,4,0.0444262967222222,2.47559674015019,0.0858167263728692
2015-11-08 17:30:00,3.74472222222222,89.11249326615,0.427777777777778,4,0.0357388888888889,2.15329613845704,0.125174538095204
2015-11-08 17:40:00,3.17555555555556,88.4314834045667,0.452777777777778,4,0.030025740537037,2.42424206648237,0.0743908159931987
2015-11-08 17:50:00,3.36028571428571,71.4031997747314,0.451428571428571,4,0.0321234284761905,11.1765878550873,0.149942539261645
2015-11-08 18:00:00,2.46,73.3263545536666,0.488888888888889,4,0.00671185177777778,7.46257074518802,0.0422338863742376
2015-11-08 18:20:00,2.75,61.050049923,0.5,4,0.00653939387878788,0.369601038249684,0.058861782642727
2015-11-08 18:50:00,3.43608695652174,57.5809412586522,0.495652173913044,4,0.0221994203478261,6.28553036954782,0.0540278559068266
2015-11-08 19:00:00,3.44944444444444,50.28080891865,0.5,4,0.0210690740555556,0.963849179628257,0.0299258328192052
2015-11-08 19:10:00,3.49083333333333,50.5872628096167,0.5,4,0.0249572221296296,0.90052294599796,0.0722340043036482
2015-11-08 19:20:00,3.34,50.0113231746343,0.5,4,0.0228824763238095,1.1270710776812,0.074183611023236
2015-11-08 19:30:00,3.10030303030303,50.5005894262,0.503030303030303,4,0.0108878787070707,0.817790996445135,0.0468229955563712
2015-11-08 19:40:00,3.4025,50.6723893156875,0.5,4,0.0200131248958333,0.746609228408431,0.0780017688151242
2015-11-08 19:50:00,3.10642857142857,50.8256160051,0.5,4,0.0133680952857143,0.717487767947971,0.0599348844237399
2015-11-08 20:00:00,3.0428125,63.313016621175,0.5,4,0.0089693749375,0.616480404435839,0.0437472631366299
2015-11-08 20:10:00,3.235,63.5007850872,0.527272727272727,4,0.0222396972424242,0.357758595885515,0.0995407396768024
2015-11-08 20:20:00,3.47916666666667,63.3215988282333,0.5,4,0.0240866667592593,0.5013523080745,0.0633955582683349
2015-11-08 20:30:00,3.79944444444444,63.4231962186333,0.486111111111111,4,0.0386975924444444,0.618461067439275,0.0835293900360903
2015-11-08 20:40:00,2.68233333333333,63.34839642778,0.443333333333333,4,0.0123928888888889,0.598642612317145,0.0831611859524162
2015-11-08 20:50:00,3.36071428571429,63.4770996392143,0.432142857142857,4,0.0271261903333333,0.31887600732875,0.125616607366641
2015-11-08 21:00:00,3.91771428571429,63.3199218810514,0.334285714285714,4,0.0437931429142857,0.413487043457837,0.0946545580440435
2015-11-08 21:10:00,3.83851851851852,63.4799472549778,0.359259259259259,4,0.0347227162469136,0.671002641850745,0.11434511523506
2015-11-08 21:20:00,3.41185185185185,67.4704088429111,0.318518518518519,4,0.027943456617284,7.18305409598435,0.0964361701552538
